,precision,recall,f1-score,support
0,0.5,0.75,0.6,4.0
1,0.0,0.0,0.0,2.0
2,0.6,0.75,0.6666666666666665,4.0
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
4,0.5,0.5,0.5,2.0
5,1.0,0.5,0.6666666666666666,2.0
6,0.5,0.5,0.5,4.0
7,1.0,0.3333333333333333,0.5,3.0
8,0.5,0.3333333333333333,0.4,3.0
9,0.6,0.75,0.6666666666666665,4.0
10,0.0,0.0,0.0,3.0
11,0.75,0.75,0.75,4.0
12,0.0,0.0,0.0,3.0
13,0.4,0.5,0.4444444444444445,4.0
14,0.6,1.0,0.7499999999999999,3.0
15,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
16,1.0,0.3333333333333333,0.5,3.0
17,0.6666666666666666,0.5,0.5714285714285715,4.0
18,1.0,0.6666666666666666,0.8,3.0
19,1.0,0.5,0.6666666666666666,2.0
20,0.6,1.0,0.7499999999999999,3.0
21,0.5,0.6666666666666666,0.5714285714285715,3.0
22,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
23,0.3333333333333333,0.5,0.4,2.0
24,0.5,0.6666666666666666,0.5714285714285715,3.0
25,0.0,0.0,0.0,3.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.5211538461538461,0.4807692307692307,0.4721306471306471,80.0
weighted avg,0.5229166666666667,0.5,0.48490079365079364,80.0
